"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"Jan., 1999"	"1999/01"	296	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 1999"	"1999/02"	256	Not Applicable	Not Applicable
	"Florida"	"12"	"Mar., 1999"	"1999/03"	323	Not Applicable	Not Applicable
	"Florida"	"12"	"Apr., 1999"	"1999/04"	284	Not Applicable	Not Applicable
	"Florida"	"12"	"May, 1999"	"1999/05"	290	Not Applicable	Not Applicable
	"Florida"	"12"	"Jun., 1999"	"1999/06"	343	Not Applicable	Not Applicable
	"Florida"	"12"	"Jul., 1999"	"1999/07"	330	Not Applicable	Not Applicable
	"Florida"	"12"	"Aug., 1999"	"1999/08"	325	Not Applicable	Not Applicable
	"Florida"	"12"	"Sep., 1999"	"1999/09"	239	Not Applicable	Not Applicable
	"Florida"	"12"	"Oct., 1999"	"1999/10"	245	Not Applicable	Not Applicable
	"Florida"	"12"	"Nov., 1999"	"1999/11"	270	Not Applicable	Not Applicable
	"Florida"	"12"	"Dec., 1999"	"1999/12"	343	Not Applicable	Not Applicable
	"Florida"	"12"	"Jan., 2000"	"2000/01"	353	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 2000"	"2000/02"	275	Not Applicable	Not Applicable
	"Florida"	"12"	"Mar., 2000"	"2000/03"	286	Not Applicable	Not Applicable
	"Florida"	"12"	"Apr., 2000"	"2000/04"	284	Not Applicable	Not Applicable
	"Florida"	"12"	"May, 2000"	"2000/05"	289	Not Applicable	Not Applicable
	"Florida"	"12"	"Jun., 2000"	"2000/06"	266	Not Applicable	Not Applicable
	"Florida"	"12"	"Jul., 2000"	"2000/07"	446	Not Applicable	Not Applicable
	"Florida"	"12"	"Aug., 2000"	"2000/08"	414	Not Applicable	Not Applicable
	"Florida"	"12"	"Sep., 2000"	"2000/09"	375	Not Applicable	Not Applicable
	"Florida"	"12"	"Oct., 2000"	"2000/10"	360	Not Applicable	Not Applicable
	"Florida"	"12"	"Nov., 2000"	"2000/11"	295	Not Applicable	Not Applicable
	"Florida"	"12"	"Dec., 2000"	"2000/12"	297	Not Applicable	Not Applicable
	"Florida"	"12"	"Jan., 2001"	"2001/01"	302	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 2001"	"2001/02"	253	Not Applicable	Not Applicable
	"Florida"	"12"	"Mar., 2001"	"2001/03"	281	Not Applicable	Not Applicable
	"Florida"	"12"	"Apr., 2001"	"2001/04"	267	Not Applicable	Not Applicable
	"Florida"	"12"	"May, 2001"	"2001/05"	266	Not Applicable	Not Applicable
	"Florida"	"12"	"Jun., 2001"	"2001/06"	261	Not Applicable	Not Applicable
	"Florida"	"12"	"Jul., 2001"	"2001/07"	256	Not Applicable	Not Applicable
	"Florida"	"12"	"Aug., 2001"	"2001/08"	239	Not Applicable	Not Applicable
	"Florida"	"12"	"Sep., 2001"	"2001/09"	255	Not Applicable	Not Applicable
	"Florida"	"12"	"Oct., 2001"	"2001/10"	282	Not Applicable	Not Applicable
	"Florida"	"12"	"Nov., 2001"	"2001/11"	264	Not Applicable	Not Applicable
	"Florida"	"12"	"Dec., 2001"	"2001/12"	299	Not Applicable	Not Applicable
	"Florida"	"12"	"Jan., 2002"	"2002/01"	339	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 2002"	"2002/02"	309	Not Applicable	Not Applicable
	"Florida"	"12"	"Mar., 2002"	"2002/03"	290	Not Applicable	Not Applicable
	"Florida"	"12"	"Apr., 2002"	"2002/04"	275	Not Applicable	Not Applicable
	"Florida"	"12"	"May, 2002"	"2002/05"	266	Not Applicable	Not Applicable
	"Florida"	"12"	"Jun., 2002"	"2002/06"	273	Not Applicable	Not Applicable
	"Florida"	"12"	"Jul., 2002"	"2002/07"	303	Not Applicable	Not Applicable
	"Florida"	"12"	"Aug., 2002"	"2002/08"	303	Not Applicable	Not Applicable
	"Florida"	"12"	"Sep., 2002"	"2002/09"	259	Not Applicable	Not Applicable
	"Florida"	"12"	"Oct., 2002"	"2002/10"	358	Not Applicable	Not Applicable
	"Florida"	"12"	"Nov., 2002"	"2002/11"	303	Not Applicable	Not Applicable
	"Florida"	"12"	"Dec., 2002"	"2002/12"	339	Not Applicable	Not Applicable
	"Florida"	"12"	"Jan., 2003"	"2003/01"	342	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 2003"	"2003/02"	274	Not Applicable	Not Applicable
	"Florida"	"12"	"Mar., 2003"	"2003/03"	307	Not Applicable	Not Applicable
	"Florida"	"12"	"Apr., 2003"	"2003/04"	291	Not Applicable	Not Applicable
	"Florida"	"12"	"May, 2003"	"2003/05"	278	Not Applicable	Not Applicable
	"Florida"	"12"	"Jun., 2003"	"2003/06"	298	Not Applicable	Not Applicable
	"Florida"	"12"	"Jul., 2003"	"2003/07"	303	Not Applicable	Not Applicable
	"Florida"	"12"	"Aug., 2003"	"2003/08"	275	Not Applicable	Not Applicable
	"Florida"	"12"	"Sep., 2003"	"2003/09"	297	Not Applicable	Not Applicable
	"Florida"	"12"	"Oct., 2003"	"2003/10"	359	Not Applicable	Not Applicable
	"Florida"	"12"	"Nov., 2003"	"2003/11"	339	Not Applicable	Not Applicable
	"Florida"	"12"	"Dec., 2003"	"2003/12"	458	Not Applicable	Not Applicable
	"Florida"	"12"	"Jan., 2004"	"2004/01"	374	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 2004"	"2004/02"	335	Not Applicable	Not Applicable
	"Florida"	"12"	"Mar., 2004"	"2004/03"	352	Not Applicable	Not Applicable
	"Florida"	"12"	"Apr., 2004"	"2004/04"	311	Not Applicable	Not Applicable
	"Florida"	"12"	"May, 2004"	"2004/05"	308	Not Applicable	Not Applicable
	"Florida"	"12"	"Jun., 2004"	"2004/06"	315	Not Applicable	Not Applicable
	"Florida"	"12"	"Jul., 2004"	"2004/07"	285	Not Applicable	Not Applicable
	"Florida"	"12"	"Aug., 2004"	"2004/08"	322	Not Applicable	Not Applicable
	"Florida"	"12"	"Sep., 2004"	"2004/09"	317	Not Applicable	Not Applicable
	"Florida"	"12"	"Oct., 2004"	"2004/10"	329	Not Applicable	Not Applicable
	"Florida"	"12"	"Nov., 2004"	"2004/11"	362	Not Applicable	Not Applicable
	"Florida"	"12"	"Dec., 2004"	"2004/12"	420	Not Applicable	Not Applicable
	"Florida"	"12"	"Jan., 2005"	"2005/01"	308	Not Applicable	Not Applicable
	"Florida"	"12"	"Feb., 2005"	"2005/02"	304	Not Applicable	Not Applicable
	"Florida"	"12"	"Mar., 2005"	"2005/03"	337	Not Applicable	Not Applicable
	"Florida"	"12"	"Apr., 2005"	"2005/04"	282	Not Applicable	Not Applicable
	"Florida"	"12"	"May, 2005"	"2005/05"	271	Not Applicable	Not Applicable
